id,Day,Month,Year,Region,Species,Species_co,Geotag_rea,Descriptio,Location.a,Descript_1,Image.s.,Audio.Vide,Geotag_rec,Geotag_all,Comments,Sex,Age.Class,Death_code,PMI_min,PMI_max,Source,lat,lon,flag
67,18,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,4,4,6,Whatsapp - 11.10.25,15.12663599,73.94008671,
68,18,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,3,3,5,Whatsapp - 11.10.25,15.1571974,73.94493185,
69,17,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,4,6,8,Whatsapp - 11.10.25,15.16859563,73.94232229,
70,17,5,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,4,5,7,Whatsapp - 11.10.25,15.16859563,73.94232229,
71,17,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,4,6,8,Whatsapp - 11.10.25,15.16859563,73.94232229,
72,17,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,3,3,5,Whatsapp - 11.10.25,15.1571974,73.94493185,
73,17,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,3,3,5,Whatsapp - 11.10.25,15.1571974,73.94493185,
74,17,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,4,5,8,Whatsapp - 11.10.25,15.1571974,73.94493185,
75,17,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,4,6,8,Whatsapp - 11.10.25,15.1571974,73.94493185,
76,16,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,3,2,4,Whatsapp - 11.10.25,15.14603986,73.94810409,
77,16,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,3,2,4,Whatsapp - 11.10.25,15.16859563,73.94232229,
78,15,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,C,4,4,5,Whatsapp - 11.10.25,15.00970492,74.02350093,
79,13,5,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,2,0.5,1,Whatsapp - 11.10.25,14.97856949,74.04153968,
80,13,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,SA,3,2,4,Whatsapp - 11.10.25,15.00970492,74.02350093,
81,13,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,SA,2,0.5,1,Whatsapp - 11.10.25,15.22307283,73.92818209,
82,11,5,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,F,SA,2,0.5,1,Whatsapp - 11.10.25,14.99667863,74.03384074,
83,11,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,M,,3,3,5,Whatsapp - 11.10.25,14.95974234,74.04898888,
84,8,5,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,,3,2,3,Whatsapp - 11.10.25,15.61701216,73.73286086,
85,4,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,3,2,4,Whatsapp - 11.10.25,15.47809487,73.80615035,
86,4,5,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,F,SA,2,0.5,1,Whatsapp - 11.10.25,15.33269558,73.89376488,
88,3,5,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,,,,,,,,,,,SA,4,4,7,Whatsapp - 11.10.25,15.29374857,73.90747058,
89,30,4,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.310969152722976,73.9020757401367",Code 3,"Majorda, South Goa.",,"https://www.marinemammals.in/submit-record/29-09-2025-9ef4bea9-d319-4900-989e-0c87faebfbc3.JPG,",,,,,,,3,3,5,MMI-10.10.25,15.31096915,73.90207574,
90,30,4,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.222593667180266,73.9287790750244",Code 3,"Varca, South Goa.",,"https://www.marinemammals.in/submit-record/29-09-2025-ef535295-51be-4a37-8c68-f5559cc255de.JPG,",,,,,,,3,3,6,MMI-10.10.25,15.22259367,73.92877908,
91,29,4,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.499295185198612,73.76751608833008",Code 3,"Sinquerim, North Goa.",,"https://www.marinemammals.in/submit-record/29-09-2025-04f88bb1-4b9d-4a8f-909f-81994106fd4d.JPG,https://www.marinemammals.in/submit-record/29-09-2025-3bc2090e-b0e8-4bf4-82ff-bdcfee8fab51.JPG,",,,,,F,,3,3,4,MMI-10.10.25,15.49929519,73.76751609,
92,26,4,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.518283687124011,73.76243429836424",Code 2,Candolim,,"https://www.marinemammals.in/submit-record/29-09-2025-ae528505-bcc3-4d2a-bc59-93d9227b78dd.JPG,",,,,,,,2,0.5,1,MMI-10.10.25,15.51828369,73.7624343,
94,16,4,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.33327564665479,73.89375016820067",Code 2,"Arrosim, South Goa.",,"https://www.marinemammals.in/submit-record/29-09-2025-ae8d6c21-e874-496f-a8f0-0d692cf8a2be.JPG,https://www.marinemammals.in/submit-record/29-09-2025-5f56f29c-0418-4994-96da-5d714d615ec0.JPG,https://www.marinemammals.in/submit-record/29-09-2025-a6462d60-4bb0-40be-b769-5b47ea9a4b06.JPG,https://www.marinemammals.in/submit-record/29-09-2025-d1f3e39b-873f-457f-a5db-2f2a1a51c01c.JPG,",,,,,F,A,2,1,2,MMI-10.10.25,15.33327565,73.89375017,
96,12,4,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.353846360544425,73.88413157456054",Code 2,"Velsao, South Goa",,"https://www.marinemammals.in/submit-record/29-09-2025-79c6c33b-5c99-48bd-9e5b-b505a8403916.JPG,https://www.marinemammals.in/submit-record/29-09-2025-d388150a-1503-4242-bb4e-474d89aa92fe.JPG,",,,,,,,3,3,4,MMI-10.10.25,15.35384636,73.88413157,
97,12,4,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.280485528396643,73.91185836347657",Code 3. No teeth present,"Colva, South Goa",,"https://www.marinemammals.in/submit-record/29-09-2025-4602abf6-cb7c-434e-b259-61a7398721ab.JPG,https://www.marinemammals.in/submit-record/29-09-2025-1b73be5b-471a-47d9-a67e-7aa7614995e7.JPG,https://www.marinemammals.in/submit-record/29-09-2025-f06dd345-1fa1-4477-932e-f0e2fbb58c8e.JPG,",,,,,,,4,4,6,MMI-10.10.25,15.28048553,73.91185836,
98,12,4,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.292136236488885,73.90803286499022",Code 4. highly sunburnt,"Betalbetim, South Goa.",,"https://www.marinemammals.in/submit-record/29-09-2025-34441dae-096d-4242-bcd4-1c342676105d.JPG,",,,,,,C,3,2,3,MMI-10.10.25,15.29213624,73.90803286,
99,11,4,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.057481609458176,73.97072436505128",Code 2. Male,"Cola beach, South Goa.",,"https://www.marinemammals.in/submit-record/29-09-2025-d65e0b8c-a500-4a43-b587-b4273cc0ebdf.JPG,https://www.marinemammals.in/submit-record/29-09-2025-38ed392c-3cc5-4e60-90d8-5fdc9f14282b.JPG,https://www.marinemammals.in/submit-record/29-09-2025-f724e78a-b7ef-4371-a737-c4c4ada3e0d7.JPG,https://www.marinemammals.in/submit-record/29-09-2025-b19850d0-f566-4a6c-a3ca-e4b025fc7a87.JPG,",,,,,M,SA,3,3,4,MMI-10.10.25,15.05748161,73.97072437,
102,30,3,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.2039116,73.93471920000002","Young, fresh, code 2, death likely <24 hrs ago",Tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250330-WA0011.jpg,",,,,,,,2,0.5,1,MMI-10.10.25,15.2039116,73.9347192,
103,27,3,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.2811065,73.91391829999999",Fresh and bloated. Likely died 1 day ago,Less visited sandy beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250327-WA0013.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250327-WA0014.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250327-WA0015.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250327-WA0017.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250327-WA0016.jpg,",,,,,,,3,2,3,MMI-10.10.25,15.2811065,73.9139183,
105,24,3,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.2039116,73.93471920000002",Sunburnt; code 3,Less visited tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250324-WA0002.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250324-WA0003.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250324-WA0004.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250324-WA0005.jpg,",,,,,,,4,3,5,MMI-10.10.25,15.2039116,73.9347192,
107,20,3,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.21160804730578, 73.93091798060237",Highly sunburnt and bloated,Less visited sandy beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250320-WA0004.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250320-WA0005.jpg,",,,,,,,3,2,3,MMI-10.10.25,15.21160805,73.93091798,
108,13,3,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.255323045597104,73.91955636394044",Code 4; decomposition likely happened on water,Tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250313-WA0001.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250313-WA0002.jpg,",,,,,,,4,6,8,MMI-10.10.25,15.25532305,73.91955636,
110,13,3,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.54465866307,73.75463886344603",Skin burnt and torn off. Likely died 1-2 days ago,TOurist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250313-WA0011.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250313-WA0012.jpg,",,,,,,A,3,2,3,MMI-10.10.25,15.54465866,73.75463886,
111,12,3,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.35202547187113,73.88481822006835",Juveline; looks emaciated,Less visited sandy beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250312-WA0006.jpg,",,,,,,,2,0.5,1,MMI-10.10.25,15.35202547,73.88481822,
113,10,3,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.333509224649074,73.8939401380371","2 animals, onc code 3 the other code 4.",Arrosim beach; less visited,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250310-WA0003.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250310-WA0004.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250310-WA0009.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250310-WA0010.jpg,",,,,,,,3,2,3,MMI-10.10.25,15.33350922,73.89394014,
114,8,3,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.126641187991787, 73.94001697992354","Code 4, slightly sunburnt and eaten","Sandy beach, less visited",,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250308-WA0012.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250308-WA0013.jpg,",,,,,,,4,5,8,MMI-10.10.25,15.12664119,73.94001698,
115,6,3,2025,Goa,Kogiidae,Large-sized delphinid,"15.390794781420906, 73.80676836826692",Several external injuries; emanciated; ,"Sandy tourist beach, stranded at night",,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250307-WA0011.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250307-WA0012.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250307-WA0015.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250307-WA0013.jpg,",,,,,,,,,,MMI-10.10.25,15.39079478,73.80676837,
116,4,3,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.374784916309823, 73.81518799149929",Code 4 decomposition.,Was probably stuck near rocks for a while before stranding on the beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250304-WA0006.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250304-WA0012.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250304-WA0013.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250304-WA0014.jpg,",,,,,,,,,,MMI-10.10.25,15.37478492,73.81518799,
117,4,3,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.559480006195038,73.74993773016357",Code 3 but eaten by dogs and skin peeled off,"Tourist beach, sandy",,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250304-WA0024.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250304-WA0025.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250304-WA0026.jpg,",,,,,,A,3,4,6,MMI-10.10.25,15.55948001,73.74993773,
120,22,2,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.351777167639217,73.88481822006835",2 animals stranded together; both were fresh but had cuts around their neck that were bleeding.,Sandy beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250222-WA0003.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250222-WA0004.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250222-WA0005.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250222-WA0007.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250222-WA0008.jpg,",,,,,,,2,1,2,MMI-10.10.25,15.35177717,73.88481822,
121,22,2,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,,,,,,,,,,,,2,1,2,MMI-10.10.25,15.35177717,73.88481822,
122,20,2,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.51111952442086,73.76461225208433","Code 3, pale",Sandy tourist beach; stranded at night,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250221-WA0001.jpg,",,,,,,,3,4,6,MMI-10.10.25,15.51111952,73.76461225,
123,18,2,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.368668780055957,73.83442537777101",Code 3,Sandy tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250218-WA0003.jpg,",,,,,,,4,4,6,MMI-10.10.25,15.36866878,73.83442538,
124,15,2,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.56084430762063,73.74899359259032","Adult, fresh",Tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250215-WA0002.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250215-WA0003.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250215-WA0004.jpg,",,,,,,SA,2,0.5,1,MMI-10.10.25,15.56084431,73.74899359,
125,13,2,2025,Goa,Risso's dolphin,Risso's dolphin,"15.405629300690341, 73.78619222726414","Juveline; decomposition state of code 2-3; probably the same Risso's seen near boats a few days ago off Devbag.
Length 275 cms
Width 110 cms",A small sandy beach south of the airport,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250213-WA0004.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250213-WA0006.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250213-WA0007.jpg,",,,,,,,,,,MMI-10.10.25,15.4056293,73.78619223,
127,12,2,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.688877041242549,73.70234547141114","Code 2, many teeth missing. Sex undetermined",Sandy tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250212-WA0004.jpg,",,,,,,,4,5,8,MMI-10.10.25,15.68887704,73.70234547,
128,12,2,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.350452873412992,73.88550486557617",Adult male with most skin peeled off; time of death seems at least 2-3 days ago,Toursit beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250212-WA0005.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250212-WA0006.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250212-WA0007.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250212-WA0008.jpg,",,,,,,,3,2,4,MMI-10.10.25,15.35045287,73.88550487,
129,12,2,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.511998259055202,73.7644084041992","large adult, heavily decomposed (Code 4)",Tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250212-WA0009.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250212-WA0010.jpg,",,,,,,,4,4,6,MMI-10.10.25,15.51199826,73.7644084,
132,8,2,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.222707516068455,73.92918754433593","Slightly bloated, code 3. Appears to be a juvenile. Sex undetermined.",Tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250208-WA0004.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250208-WA0005.jpg,",,,,,,,3,2,4,MMI-10.10.25,15.22270752,73.92918754,
133,7,2,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.255283294941428,73.9192884458496","Heavily decomposed (code 4), likely adult male",Tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250207-WA0003.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250207-WA0004.jpg,",,,,,,,4,5,9,MMI-10.10.25,15.25528329,73.91928845,
134,7,2,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.203456053793202,73.93360340104982","Heavily decomposed, code 4",Tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250207-WA0006.jpg,",,,,,,,4,6,9,MMI-10.10.25,15.20345605,73.9336034,
135,6,2,2025,Goa,Indo-Pacific finless porpoise,Indo-Pacific finless porpoise,"15.389879579743482, 73.80680182255628","Advance stage of decomposition (code 3) with gut and tongue swollen, skin torn off",Tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250207-WA0001.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250207-WA0002.jpg,",,,,,,,3,2,4,MMI-10.10.25,15.38987958,73.80680182,
138,4,2,2025,Goa,Indian Ocean humpback dolphin,Humpback dolphin,"15.332764245015328,73.89411179941405",Slightly bloated (perhaps died 1-2 days ago); scrape-like marks seen on the snout. Adult Male,Sandy tourist beach,,"https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250205-WA0001.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250205-WA0003.jpg,https://www.marinemammals.in/submit-record/25-08-2025-IMG-20250205-WA0003.jpg,",,,,,M,A,2,1,2,MMI-10.10.25,15.33276425,73.8941118,
